Time,Duration,Voltage,Current
07:21:11,0.00,-0.184,0.005
07:21:12,1.00,-0.197,-0.001
07:21:13,2.01,-0.195,-0.005
07:21:14,3.02,-0.199,0.006
07:21:15,4.03,-0.204,-0.003
07:21:17,5.04,-0.208,0.003
07:21:18,6.05,-0.213,0.005
07:21:19,7.06,-0.215,-0.001
07:21:20,8.07,-0.235,0.001
07:21:21,9.09,-1.400,-0.001
07:21:22,10.10,-0.190,0.001
07:21:23,11.10,11.801,0.600
07:21:24,12.11,11.801,0.602
07:21:25,13.12,4.396,0.361
07:21:26,14.13,4.401,0.299
07:21:27,15.13,4.405,0.347
07:21:28,16.14,4.407,0.320
07:21:29,17.15,4.410,0.319
07:21:30,18.16,4.412,0.316
07:21:31,19.17,4.401,0.327
07:21:32,20.17,4.405,0.274
07:21:33,21.19,4.423,0.315
07:21:34,22.20,4.412,0.290
07:21:35,23.21,4.414,0.315
07:21:36,24.22,4.410,0.334
07:21:37,25.23,4.412,0.326
07:21:38,26.25,4.416,0.403
07:21:39,27.26,4.412,0.381
07:21:40,28.27,4.414,0.381
07:21:41,29.29,4.412,0.361
07:21:42,30.29,4.410,0.299
07:21:43,31.30,4.410,0.311
07:21:44,32.30,4.414,0.305
07:21:45,33.31,4.412,0.259
07:21:46,34.32,4.412,0.340
07:21:47,35.33,4.416,0.311
