Time,Duration,Voltage,Current
17:03:06,0.00,4.407,0.405
17:03:07,1.00,4.407,0.395
17:03:08,2.02,4.407,0.417
17:03:09,3.02,4.405,0.432
17:03:10,4.03,4.403,0.410
17:03:11,5.04,4.407,0.407
17:03:12,6.05,4.407,0.423
17:03:13,7.05,4.407,0.423
17:03:14,8.06,4.405,0.416
17:03:15,9.06,4.405,0.422
17:03:16,10.07,4.403,0.418
17:03:17,11.08,4.407,0.426
17:03:18,12.09,4.407,0.406
17:03:20,13.10,4.405,0.417
17:03:21,14.11,4.403,0.424
17:03:22,15.11,4.403,0.416
17:03:23,16.12,4.407,0.422
17:03:24,17.14,4.407,0.407
17:03:25,18.15,4.405,0.410
17:03:26,19.15,4.405,0.422
17:03:27,20.17,4.403,0.420
17:03:28,21.18,4.407,0.411
17:03:29,22.19,4.407,0.420
17:03:30,23.19,4.405,0.413
17:03:31,24.20,4.403,0.426
17:03:32,25.22,4.403,0.421
17:03:33,26.23,4.403,0.413
17:03:34,27.24,4.405,0.429
17:03:35,28.26,4.405,0.426
17:03:36,29.26,4.403,0.415
17:03:37,30.28,4.405,0.423
17:03:38,31.29,4.403,0.421
17:03:39,32.29,4.407,0.411
17:03:40,33.31,4.407,0.417
17:03:41,34.32,4.405,0.417
17:03:42,35.33,4.405,0.426
17:03:43,36.34,4.403,0.417
17:03:44,37.35,4.407,0.411
17:03:45,38.36,4.405,0.417
17:03:46,39.37,4.405,0.404
17:03:47,40.38,4.405,0.412
17:03:48,41.38,4.403,0.412
17:03:49,42.39,4.407,0.411
17:03:50,43.41,4.407,0.422
17:03:51,44.41,4.405,0.406
17:03:52,45.42,4.405,0.422
17:03:53,46.43,4.403,0.409
17:03:54,47.44,4.403,0.420
17:03:55,48.46,4.407,0.423
17:03:56,49.47,4.405,0.424
17:03:57,50.48,4.405,0.415
17:03:58,51.49,4.405,0.409
17:03:59,52.50,4.403,0.436
17:04:00,53.52,4.407,0.427
17:04:01,54.52,4.407,0.413
17:04:02,55.53,4.407,0.418
17:04:03,56.53,4.405,0.412
17:04:04,57.54,4.403,0.412
17:04:05,58.55,4.407,0.409
17:04:06,59.55,4.407,0.410
