Time,Duration,Voltage,Current
18:28:58,0.00,11.629,0.593
18:28:59,1.01,11.633,0.566
18:29:00,2.02,11.631,0.560
18:29:01,3.03,11.631,0.566
18:29:02,4.04,11.629,0.560
18:29:03,5.05,11.629,0.558
18:29:04,6.06,11.633,0.564
18:29:05,7.07,11.633,0.571
18:29:06,8.08,11.631,0.560
18:29:07,9.09,11.629,0.569
18:29:09,10.10,11.629,0.578
18:29:10,11.12,11.633,0.576
18:29:11,12.13,11.633,0.554
18:29:12,13.14,11.633,0.568
18:29:13,14.14,11.631,0.551
18:29:14,15.15,11.631,0.569
18:29:15,16.16,11.633,0.583
18:29:16,17.17,11.631,0.568
18:29:17,18.17,11.631,0.558
18:29:18,19.18,11.631,0.582
18:29:19,20.19,11.631,0.555
18:29:20,21.19,11.631,0.566
18:29:21,22.20,11.631,0.561
18:29:22,23.21,11.631,0.568
18:29:23,24.22,11.629,0.574
18:29:24,25.23,11.627,0.572
18:29:25,26.24,11.627,0.564
18:29:26,27.25,11.631,0.566
18:29:27,28.26,11.631,0.570
18:29:28,29.26,11.629,0.575
18:29:29,30.27,11.627,0.578
18:29:30,31.28,11.629,0.564
18:29:31,32.30,11.631,0.572
18:29:32,33.31,11.631,0.583
18:29:33,34.32,11.629,0.575
18:29:34,35.33,11.629,0.584
18:29:35,36.35,11.629,0.569
18:29:36,37.36,11.633,0.576
18:29:37,38.37,11.631,0.566
18:29:38,39.38,11.631,0.570
18:29:39,40.39,11.629,0.563
18:29:40,41.40,11.629,0.551
18:29:41,42.41,11.629,0.587
18:29:42,43.42,11.631,0.565
18:29:43,44.43,11.629,0.588
18:29:44,45.44,11.629,0.560
18:29:45,46.45,11.629,0.555
18:29:46,47.46,11.627,0.555
18:29:47,48.47,11.631,0.591
18:29:48,49.48,11.629,0.580
18:29:49,50.49,11.629,0.575
18:29:50,51.50,11.627,0.568
18:29:51,52.51,11.629,0.548
18:29:52,53.52,11.631,0.581
18:29:53,54.53,11.629,0.555
18:29:54,55.55,11.629,0.574
18:29:55,56.56,11.629,0.563
18:29:56,57.57,11.627,0.582
18:29:57,58.57,11.625,0.572
18:29:58,59.58,11.629,0.572
18:29:59,60.59,11.629,0.541
18:30:00,61.60,11.629,0.569
18:30:01,62.61,11.625,0.566
18:30:02,63.62,11.627,0.566
18:30:03,64.63,11.629,0.575
18:30:04,65.65,11.629,0.570
18:30:05,66.66,11.627,0.580
18:30:06,67.67,11.627,0.551
18:30:07,68.67,11.625,0.570
18:30:08,69.68,11.629,0.581
18:30:09,70.69,11.627,0.563
18:30:10,71.70,11.627,0.569
18:30:11,72.71,11.627,0.572
18:30:12,73.72,11.627,0.565
18:30:13,74.73,11.627,0.583
18:30:14,75.73,11.629,0.571
18:30:15,76.74,11.625,0.557
18:30:16,77.75,11.627,0.577
18:30:17,78.76,11.625,0.587
18:30:18,79.78,11.625,0.582
18:30:19,80.79,11.629,0.566
18:30:20,81.80,11.627,0.569
18:30:21,82.80,11.625,0.548
18:30:22,83.82,11.627,0.570
18:30:23,84.83,11.625,0.571
18:30:24,85.85,11.629,0.576
18:30:25,86.86,11.627,0.561
18:30:26,87.87,11.627,0.580
18:30:27,88.88,11.625,0.560
18:30:28,89.89,11.625,0.576
18:30:29,90.90,11.627,0.576
18:30:30,91.91,11.627,0.564
18:30:31,92.91,11.625,0.582
18:30:32,93.92,11.625,0.591
18:30:33,94.93,11.625,0.558
18:30:34,95.95,11.627,0.570
18:30:35,96.95,11.625,0.568
18:30:36,97.96,11.625,0.554
18:30:37,98.98,11.625,0.576
18:30:38,99.99,11.622,0.565
18:30:39,101.00,11.622,0.585
18:30:40,102.01,11.627,0.557
18:30:41,103.02,11.627,0.580
18:30:42,104.03,11.625,0.569
18:30:43,105.05,11.625,0.571
18:30:44,106.06,11.625,0.568
18:30:45,107.07,11.627,0.563
18:30:46,108.08,11.625,0.587
18:30:47,109.09,11.625,0.566
18:30:49,110.10,11.622,0.566
18:30:50,111.11,11.622,0.577
18:30:51,112.12,11.627,0.568
18:30:52,113.13,11.625,0.576
18:30:53,114.14,11.622,0.574
18:30:54,115.15,11.622,0.580
18:30:55,116.16,11.622,0.582
18:30:56,117.17,11.625,0.561
18:30:57,118.18,11.622,0.578
18:30:58,119.19,11.627,0.593
18:30:59,120.20,11.622,0.572
18:31:00,121.22,11.622,0.572
18:31:01,122.23,11.622,0.578
18:31:02,123.24,11.625,0.570
18:31:03,124.25,11.625,0.582
18:31:04,125.26,11.622,0.572
18:31:05,126.27,11.620,0.553
18:31:06,127.27,11.622,0.561
18:31:07,128.28,11.622,0.571
18:31:08,129.28,11.622,0.580
18:31:09,130.29,11.622,0.557
18:31:10,131.29,11.622,0.568
18:31:11,132.30,11.620,0.557
18:31:12,133.31,11.625,0.588
18:31:13,134.32,11.622,0.584
18:31:14,135.33,11.622,0.584
18:31:15,136.33,11.622,0.582
