Time,Duration,Voltage,Current
22:50:05,0.00,-0.119,0.007
22:50:06,1.00,-0.119,-0.001
22:50:07,2.01,-0.121,-0.000
22:50:08,3.01,-0.121,-0.006
22:50:09,4.01,-0.121,0.007
22:50:10,5.01,-0.119,0.013
22:50:11,6.01,-0.119,0.005
22:50:12,7.01,-0.119,0.001
22:50:13,8.01,-0.119,0.001
22:50:14,9.01,-0.123,0.005
22:50:15,10.02,19.908,0.008
22:50:16,11.02,19.904,-0.001
22:50:17,12.02,21.537,0.282
22:50:18,13.02,21.533,0.277
22:50:19,14.02,21.533,0.292
22:50:20,15.02,21.528,0.279
22:50:21,16.03,21.535,0.275
22:50:22,17.03,21.535,0.287
22:50:23,18.03,21.535,0.286
22:50:24,19.03,21.533,0.277
22:50:25,20.03,21.533,0.279
22:50:26,21.03,21.537,0.288
22:50:27,22.04,21.535,0.285
22:50:28,23.04,21.535,0.282
22:50:29,24.04,21.530,0.286
22:50:30,25.04,21.530,0.285
22:50:31,26.04,21.533,0.280
22:50:32,27.04,21.537,0.292
22:50:33,28.05,21.535,0.285
22:50:34,29.05,21.535,0.278
22:50:35,30.05,21.530,0.285
22:50:36,31.05,21.530,0.280
22:50:37,32.05,21.533,0.286
22:50:38,33.05,21.535,0.287
22:50:39,34.05,21.535,0.279
22:50:40,35.05,21.533,0.293
22:50:41,36.06,21.530,0.285
22:50:42,37.06,21.533,0.287
22:50:43,38.06,21.537,0.287
22:50:44,39.06,21.537,0.281
22:50:45,40.06,21.535,0.288
22:50:46,41.06,21.530,0.288
22:50:47,42.06,21.530,0.286
22:50:48,43.06,21.535,0.282
22:50:49,44.07,21.537,0.287
22:50:50,45.07,21.535,0.288
22:50:51,46.07,21.535,0.286
22:50:52,47.07,21.530,0.280
22:50:53,48.07,21.539,0.281
22:50:54,49.07,21.537,0.281
22:50:55,50.07,21.535,0.287
22:50:56,51.07,21.535,0.281
22:50:57,52.07,21.530,0.290
22:50:58,53.08,21.535,0.287
22:50:59,54.08,21.537,0.287
22:51:00,55.08,21.533,0.285
22:51:01,56.08,21.533,0.288
22:51:02,57.08,21.535,0.287
22:51:03,58.08,21.533,0.280
22:51:04,59.08,21.535,0.280
22:51:05,60.08,21.537,0.286
22:51:06,61.09,21.537,0.278
22:51:07,62.09,21.533,0.281
22:51:08,63.09,21.530,0.279
22:51:09,64.09,21.535,0.280
22:51:10,65.09,21.533,0.278
22:51:11,66.09,21.535,0.297
22:51:12,67.09,21.535,0.282
22:51:13,68.09,21.530,0.286
22:51:14,69.09,21.530,0.287
22:51:15,70.10,21.530,0.286
22:51:16,71.10,21.535,0.281
22:51:17,72.10,21.530,0.287
22:51:18,73.10,21.526,0.281
22:51:19,74.10,21.530,0.294
22:51:20,75.10,21.530,0.286
22:51:21,76.10,21.535,0.279
22:51:22,77.11,21.530,0.291
22:51:23,78.11,21.528,0.287
22:51:24,79.11,21.530,0.282
22:51:25,80.11,21.533,0.279
22:51:26,81.11,21.530,0.286
22:51:27,82.11,21.535,0.282
22:51:28,83.12,21.533,0.290
22:51:29,84.12,21.528,0.282
22:51:30,85.12,21.530,0.282
22:51:31,86.12,21.530,0.278
22:51:32,87.12,21.530,0.281
22:51:33,88.12,21.533,0.282
22:51:34,89.12,21.530,0.293
22:51:35,90.13,21.530,0.286
22:51:36,91.13,21.535,0.282
22:51:37,92.13,21.528,0.285
22:51:38,93.13,21.530,0.290
22:51:39,94.13,21.530,0.291
22:51:40,95.13,21.533,0.280
22:51:41,96.14,21.530,0.277
22:51:42,97.14,21.526,0.287
22:51:43,98.14,21.526,0.293
22:51:44,99.14,21.530,0.275
22:51:45,100.14,21.528,0.282
22:51:46,101.14,21.528,0.282
22:51:47,102.15,21.530,0.282
22:51:48,103.15,21.533,0.294
22:51:49,104.15,21.530,0.278
22:51:50,105.15,21.528,0.286
22:51:51,106.15,21.533,0.290
22:51:52,107.15,21.530,0.285
22:51:53,108.16,21.530,0.279
22:51:54,109.16,21.526,0.280
22:51:55,110.16,21.530,0.287
22:51:56,111.16,21.530,0.288
22:51:57,112.16,21.528,0.285
22:51:58,113.16,21.526,0.284
22:51:59,114.17,21.530,0.281
22:52:00,115.17,21.528,0.288
22:52:01,116.17,21.530,0.293
22:52:02,117.17,21.528,0.282
22:52:03,118.17,21.526,0.288
22:52:04,119.17,21.530,0.280
22:52:05,120.17,21.530,0.287
22:52:06,121.18,21.530,0.285
22:52:07,122.18,21.530,0.274
22:52:08,123.18,21.530,0.279
22:52:09,124.18,21.530,0.279
22:52:10,125.18,21.528,0.286
22:52:11,126.19,21.528,0.285
22:52:12,127.19,21.528,0.282
22:52:13,128.19,21.528,0.291
22:52:14,129.19,21.530,0.282
22:52:15,130.19,21.530,0.286
22:52:16,131.19,21.528,0.281
22:52:17,132.20,21.530,0.286
22:52:18,133.20,21.530,0.288
22:52:19,134.20,21.528,0.284
22:52:20,135.20,21.528,0.284
22:52:21,136.20,21.528,0.286
22:52:22,137.20,21.524,0.279
22:52:23,138.21,21.526,0.286
22:52:24,139.21,21.524,0.278
22:52:25,140.21,21.530,0.273
22:52:26,141.21,21.528,0.275
22:52:27,142.21,21.528,0.287
22:52:28,143.21,21.526,0.288
22:52:29,144.22,21.528,0.284
22:52:30,145.22,21.533,0.286
22:52:31,146.22,21.528,0.282
22:52:32,147.22,21.528,0.282
22:52:33,148.22,21.528,0.287
22:52:34,149.22,21.535,0.274
22:52:35,150.23,21.528,0.281
22:52:36,151.23,21.526,0.279
22:52:37,152.23,21.530,0.275
22:52:38,153.23,21.526,0.285
22:52:39,154.23,21.528,0.297
22:52:40,155.23,21.528,0.282
22:52:41,156.23,21.528,0.282
22:52:42,157.24,21.528,0.285
22:52:43,158.24,21.524,0.285
22:52:44,159.24,21.528,0.284
22:52:45,160.24,21.530,0.288
22:52:46,161.24,21.530,0.274
22:52:47,162.24,21.533,0.280
