Time,Duration,Voltage,Current
17:51:14,0.00,-0.121,-0.009
17:51:15,1.01,-0.121,-0.003
17:51:16,2.02,-0.121,-0.017
17:51:17,3.03,-0.123,-0.009
17:51:18,4.04,-0.123,-0.018
17:51:19,5.04,-0.119,-0.000
17:51:20,6.05,-0.121,-0.010
17:51:21,7.06,-0.121,-0.011
17:51:22,8.07,-0.121,-0.009
17:51:23,9.07,-0.121,-0.003
17:51:24,10.08,-0.123,-0.001
17:51:25,11.08,-0.119,-0.000
17:51:26,12.09,-0.121,-0.005
17:51:27,13.10,12.422,-0.006
17:51:28,14.12,12.422,-0.016
17:51:29,15.12,12.422,-0.013
17:51:30,16.13,7.080,-0.018
17:51:31,17.13,7.080,-0.012
17:51:33,18.14,7.078,-0.001
17:51:34,19.14,7.078,-0.006
17:51:35,20.16,7.076,-0.018
17:51:36,21.17,7.080,-0.007
17:51:37,22.18,7.080,-0.004
17:51:38,23.18,7.080,-0.011
17:51:39,24.18,7.078,-0.010
17:51:40,25.19,7.076,-0.009
17:51:41,26.21,6.487,-0.005
17:51:42,27.21,6.287,-0.000
17:51:43,28.22,5.738,-0.004
17:51:44,29.23,5.490,-0.010
17:51:45,30.23,4.432,-0.007
17:51:46,31.25,4.127,-0.013
17:51:47,32.25,4.168,-0.012
17:51:48,33.26,4.311,-0.007
17:51:49,34.27,4.472,-0.023
17:51:50,35.28,4.654,-0.016
17:51:51,36.29,4.665,-0.016
17:51:52,37.29,4.647,-0.009
17:51:53,38.30,4.634,-0.007
17:51:54,39.31,4.636,-0.017
17:51:55,40.33,4.647,-0.013
17:51:56,41.34,4.741,-0.011
17:51:57,42.34,4.723,-0.010
17:51:58,43.35,4.564,-0.015
17:51:59,44.36,4.562,-0.009
17:52:00,45.37,4.560,-0.007
17:52:01,46.38,4.562,-0.009
17:52:02,47.39,4.560,-0.007
17:52:03,48.40,4.562,-0.012
17:52:04,49.41,4.564,-0.010
17:52:05,50.41,4.562,-0.012
17:52:06,51.42,4.562,-0.005
17:52:07,52.43,4.562,-0.003
17:52:08,53.44,4.566,-0.010
